"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"46",1090,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221125_213000.WAV","Big Bog_AM1",2022-11-25,2022-11-25 21:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"47",1104,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221126_190000.WAV","Big Bog_AM1",2022-11-26,2022-11-26 19:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0.001,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"48",1126,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221127_003000.WAV","Big Bog_AM1",2022-11-27,2022-11-27 00:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"49",1170,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221128_233000.WAV","Big Bog_AM1",2022-11-28,2022-11-28 23:30:00,0,1.5,-2,"Not a frog",0.998,0,0,0,0,0.001,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"50",1193,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221129_231500.WAV","Big Bog_AM1",2022-11-29,2022-11-29 23:15:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"51",1197,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221130_001500.WAV","Big Bog_AM1",2022-11-30,2022-11-30 00:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"52",1225,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221201_191500.WAV","Big Bog_AM1",2022-12-01,2022-12-01 19:15:00,0,1.5,-2,"Not a frog",0.997,0,0,0.001,0,0.001,0,0.001,"[0.997 0.    0.    0.    0.001 0.    0.    0.    0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"53",1265,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221202_231500.WAV","Big Bog_AM1",2022-12-02,2022-12-02 23:15:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"54",1273,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221203_191500.WAV","Big Bog_AM1",2022-12-03,2022-12-03 19:15:00,0,1.5,-2,"Not a frog",0.998,0,0,0,0,0,0.002,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.002 0.    0.    0.   ]"
"55",1293,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221204_001500.WAV","Big Bog_AM1",2022-12-04,2022-12-04 00:15:00,0,1.5,-2,"Not a frog",0.998,0,0,0,0,0,0.002,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.002 0.    0.    0.   ]"
